timestamp,course_url,title,headline,is_bestseller,rating,num_reviews,num_students,instructor,language,price,discount,related_topics,sections,lectures,total_length
2025-10-07 06:22:12,https://www.udemy.com/course/aws-ecs-spring-boot-aws-cdk/,Deploy Spring Boot services to AWS ECS Fargate with AWS CDK,"Create microservices with AWS ECS, AWS CDK V2, Spring Boot V3 in Java 21. Learn to use SNS, SQS, DynamoDB, S3,AWS SDK V2",Yes,4.7,62,861,Siecola,English,309000.0,72%,"Amazon ECS, Web Development, Development",31.0,304.0,24h 9m
2025-10-07 06:22:30,https://www.udemy.com/course/learn-mcp-model-context-protocol-course-and-a2a-bootcamphands-hands-on/,"MCP Bootcamp: Build, Deploy & Secure Model Context Protocol","MCP Development Hands-on: Build, Deploy, Integrate Production MCP Applications | Complete Model Context Protocol",No,4.6,440,"6,075",Zoltan,English,299000.0,63%,"Model Context Protocol (MCP), Other IT & Software, IT & Software",18.0,103.0,8h 15m
2025-10-07 06:22:48,https://www.udemy.com/course/hashicorp-vault/,HashiCorp Certified: Vault Associate 003 (w/ Hands-On Labs),Learn how to Deploy and Manage HashiCorp Vault while preparing for the HashiCorp Certified Vault Associate certification,Yes,4.7,"3,483","21,669",Bryan,English,339000.0,82%,"HashiCorp Vault, IT Certifications, IT & Software",15.0,139.0,15h 43m
2025-10-07 06:23:05,https://www.udemy.com/course/openshift-for-developers/,Practical OpenShift for Developers - OpenShift 4,Master OpenShift Application Development and Deployment By Learning How To Use 15 OpenShift Resources,Yes,4.5,"3,985","26,970",Mac,English,309000.0,81%,"Red Hat OpenShift, Other IT & Software, IT & Software",17.0,140.0,6h 39m
2025-10-07 06:23:21,https://www.udemy.com/course/mastering-amazon-eks-hands-on/,Mastering Amazon EKS - Hands-On,"Build, Deploy, and Operate Kubernetes clusters with Amazon EKS",Yes,4.6,14,"1,068",Yogesh,English,289000.0,73%,"Amazon EKS, Software Engineering, Development",12.0,63.0,4h 35m
2025-10-07 06:23:38,https://www.udemy.com/course/the-complete-traefik-training-course/,The Complete Traefik Training Course,"Learn to Deploy, Configure, and Maintain Traefik",No,4.1,977,"5,654",Brian,English,319000.0,71%,"Microservices, Other IT & Software, IT & Software",10.0,66.0,5h 1m
2025-10-07 06:23:55,https://www.udemy.com/course/nestjs-the-complete-developers-guide/,NestJS: The Complete Developer's Guide,"Build full featured backend APIs incredibly quickly with Nest, TypeORM, and Typescript. Includes testing and deployment!",Yes,4.7,"8,674","50,209",Stephen,English,309000.0,83%,"NestJS, Web Development, Development",20.0,246.0,19h 45m
2025-10-07 06:24:25,https://www.udemy.com/course/deployment-of-machine-learning-models/,Deployment of Machine Learning Models,Learn how to integrate robust and reliable Machine Learning Pipelines in Production,No,4.4,"5,916","41,972",Soledad,English,309000.0,78%,"MLOps, ML Model Deployment, Data Science, Development",14.0,150.0,10h 26m
2025-10-07 06:24:41,https://www.udemy.com/course/the-microservices-bootcamp-with-aws/,The Microservices Bootcamp with AWS,Learn how to deploy Modern Web Apps in AWS through SAM and EKS,Yes,5.0,10,148,Taran,English,279000.0,30%,"Microservices, Other IT & Software, IT & Software",26.0,161.0,19h 8m
2025-10-07 06:24:59,https://www.udemy.com/course/full-stack-course-by-smoljames/,Full Stack Course | Build & Deploy 4 Projects and Get Hired,"Master Full Stack Development, Build Real-World Apps, and Launch a Job-Ready Web Portfolio.",No,4.7,82,540,James,English,279000.0,30%,"Full Stack Web Development, Other IT & Software, IT & Software",5.0,38.0,15h 16m
2025-10-07 06:25:15,https://www.udemy.com/course/aws-java/,AWS Cloud Architecture For Java Spring Boot Developers,"Design, Deploy, Secure Applications with VPC. Subnets, Auto Scaling, Load Balancing, ECS Fargate, CI/CD Pipelines",Yes,4.6,367,"3,693",Vinoth,English,299000.0,25%,"Amazon AWS, Software Engineering, Development",14.0,167.0,11h 36m
2025-10-07 06:25:34,https://www.udemy.com/course/websphere-855-and-905-beginner-l1-l2/,WebSphere 8.5 & 9.0 - Network Deployment - L2 Administration,Master IBM WebSphere Application Server 8.5.5 & 9.0.5 Network Deployment - Administration & Configuration,Yes,4.5,1,16,Mohammed,English,279000.0,64%,"English Language, Other IT & Software, IT & Software",12.0,65.0,15h 1m
2025-10-07 06:25:51,https://www.udemy.com/course/aws-hands-on-guide-build-and-deploy-full-cloud-architecture/,AWS Hands-On Guide: Build and Deploy Full Cloud Architecture,Learn AWS by building a complete and scalable cloud environment from scratch step-by-step with real-world projects!,Yes,5.0,1,3,Kevin,English,279000.0,64%,"Amazon AWS, Network & Security, IT & Software",15.0,65.0,8h 9m
2025-10-07 06:26:27,https://www.udemy.com/course/blockchain-build-secure-and-deploy-real-world-applications/,"Blockchain: Build, Secure and Deploy Real-World Applications","Learn blockchain from fundamentals to smart contracts, security, Hyperledger, real-world applications across industries.",Yes,4.8,2,"1,573",Uplatz,English,279000.0,52%,"Blockchain, Cryptocurrency & Blockchain, Finance & Accounting",12.0,58.0,60h 5m
2025-10-07 06:26:44,https://www.udemy.com/course/deploying-windows-11-in-modern-networks/,Deploying Windows 11 in Modern Networks,Windows 11 Deployment,Yes,0.0,"2,009",5,Wes,English,279000.0,64%,"Deployment, Operating Systems & Servers, IT & Software",6.0,71.0,17h 25m
2025-10-07 06:27:00,https://www.udemy.com/course/generative-ai-for-beginners-chatbots-rag-mcp-ai-agents/,"Complete Generative AI Course: RAG, AI Agents & Deployment","Learn Generative AI from scratch – Build RAG, AI Agents & Chatbots, master MCP, and deploy real-world projects",Yes,4.7,67,521,Siddhardhan,English,279000.0,73%,"Generative AI (GenAI), Data Science, Development",10.0,61.0,17h 31m
2025-10-07 06:27:16,https://www.udemy.com/course/scale-deploy-ai-agents-with-azure-container-apps-aca/,Azure AI Agents with Azure Container Apps (Deploy at Scale),"Deploy, scale, and productionize Azure AI Agents using Azure Container Apps with real-world cloud practices.",Yes,5.0,29,35,Kuljot,English,279000.0,64%,"Other IT & Software, IT & Software",8.0,29.0,7h 22m
2025-10-07 06:27:34,https://www.udemy.com/course/sveltekit-runes-mastery/,SvelteKit 5 Runes Mastery: Deploy Full Stack Netlify/Mongodb,"Build secure, scalable, optimized, responsive full-stack apps with authentication, CRUD, serverless functions and APIs.",Yes,0.0,2,0,Patrick,English,799000.0,,"Web Development, Development",9.0,52.0,5h 25m
2025-10-07 06:27:51,https://www.udemy.com/course/master-docker-kubernetes-devops/,"Docker, Kubernetes & AWS with GitHub Actions for DevOps","Learn Docker, Kubernetes, AWS & GitHub Actions to build, deploy, and automate containerized applications",No,4.5,26,208,Mukesh,English,279000.0,30%,"DevOps, Software Development Tools, Development",14.0,137.0,19h 45m
